2025-11-20 10:14:17 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:17] "GET /api/rates/statistics?currency=EUR&days=30 HTTP/1.1" 200 -
2025-11-20 10:14:17 - ERROR    - web.app:236 - get_rate_trends() - Error getting rate trends: 'RateTrend' object has no attribute 'timestamp'
2025-11-20 10:14:17 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:17] "[35m[1mGET /api/rates/trends?currency=EUR&days=7 HTTP/1.1[0m" 500 -
2025-11-20 10:14:17 - INFO     - sources.backup_sources:119 - get_rates_from_bnr() - BNR: Retrieved 38 rates
2025-11-20 10:14:17 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:17] "GET /api/health HTTP/1.1" 200 -
2025-11-20 10:14:17 - INFO     - sources.backup_sources:155 - get_rates_from_ecb() - ECB: Retrieved 0 rates
2025-11-20 10:14:17 - WARNING  - sources.backup_sources:170 - get_rates_from_fixer() - Fixer.io API key not configured
2025-11-20 10:14:18 - INFO     - sources.backup_sources:230 - get_rates_from_exchangerate_api() - ExchangeRate-API: Retrieved 3 rates
2025-11-20 10:14:18 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:18] "GET /api/sources/status HTTP/1.1" 200 -
2025-11-20 10:14:44 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:44] "GET /api/rates/statistics?currency=EUR&days=30 HTTP/1.1" 200 -
2025-11-20 10:14:44 - ERROR    - web.app:236 - get_rate_trends() - Error getting rate trends: 'RateTrend' object has no attribute 'timestamp'
2025-11-20 10:14:44 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:44] "GET /api/rates/latest HTTP/1.1" 200 -
2025-11-20 10:14:44 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:44] "[35m[1mGET /api/rates/trends?currency=EUR&days=7 HTTP/1.1[0m" 500 -
2025-11-20 10:14:44 - INFO     - sources.backup_sources:119 - get_rates_from_bnr() - BNR: Retrieved 38 rates
2025-11-20 10:14:44 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:44] "GET /api/health HTTP/1.1" 200 -
2025-11-20 10:14:44 - INFO     - sources.backup_sources:155 - get_rates_from_ecb() - ECB: Retrieved 0 rates
2025-11-20 10:14:44 - WARNING  - sources.backup_sources:170 - get_rates_from_fixer() - Fixer.io API key not configured
2025-11-20 10:14:44 - INFO     - sources.backup_sources:230 - get_rates_from_exchangerate_api() - ExchangeRate-API: Retrieved 3 rates
2025-11-20 10:14:44 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:44] "GET /api/sources/status HTTP/1.1" 200 -
2025-11-20 10:14:47 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:47] "GET /api/rates/statistics?currency=EUR&days=30 HTTP/1.1" 200 -
2025-11-20 10:14:47 - ERROR    - web.app:236 - get_rate_trends() - Error getting rate trends: 'RateTrend' object has no attribute 'timestamp'
2025-11-20 10:14:47 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:47] "[35m[1mGET /api/rates/trends?currency=EUR&days=7 HTTP/1.1[0m" 500 -
2025-11-20 10:14:47 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:47] "GET /api/rates/latest HTTP/1.1" 200 -
2025-11-20 10:14:47 - INFO     - sources.backup_sources:119 - get_rates_from_bnr() - BNR: Retrieved 38 rates
2025-11-20 10:14:47 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:47] "GET /api/health HTTP/1.1" 200 -
2025-11-20 10:14:47 - INFO     - sources.backup_sources:155 - get_rates_from_ecb() - ECB: Retrieved 0 rates
2025-11-20 10:14:47 - WARNING  - sources.backup_sources:170 - get_rates_from_fixer() - Fixer.io API key not configured
2025-11-20 10:14:48 - INFO     - sources.backup_sources:230 - get_rates_from_exchangerate_api() - ExchangeRate-API: Retrieved 3 rates
2025-11-20 10:14:48 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:14:48] "GET /api/sources/status HTTP/1.1" 200 -
2025-11-20 10:15:14 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:14] "GET /api/rates/latest HTTP/1.1" 200 -
2025-11-20 10:15:14 - ERROR    - web.app:236 - get_rate_trends() - Error getting rate trends: 'RateTrend' object has no attribute 'timestamp'
2025-11-20 10:15:14 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:14] "GET /api/rates/statistics?currency=EUR&days=30 HTTP/1.1" 200 -
2025-11-20 10:15:14 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:14] "[35m[1mGET /api/rates/trends?currency=EUR&days=7 HTTP/1.1[0m" 500 -
2025-11-20 10:15:14 - INFO     - sources.backup_sources:119 - get_rates_from_bnr() - BNR: Retrieved 38 rates
2025-11-20 10:15:14 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:14] "GET /api/health HTTP/1.1" 200 -
2025-11-20 10:15:14 - INFO     - sources.backup_sources:155 - get_rates_from_ecb() - ECB: Retrieved 0 rates
2025-11-20 10:15:14 - WARNING  - sources.backup_sources:170 - get_rates_from_fixer() - Fixer.io API key not configured
2025-11-20 10:15:14 - INFO     - sources.backup_sources:230 - get_rates_from_exchangerate_api() - ExchangeRate-API: Retrieved 3 rates
2025-11-20 10:15:14 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:14] "GET /api/sources/status HTTP/1.1" 200 -
2025-11-20 10:15:17 - ERROR    - web.app:236 - get_rate_trends() - Error getting rate trends: 'RateTrend' object has no attribute 'timestamp'
2025-11-20 10:15:17 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:17] "[35m[1mGET /api/rates/trends?currency=EUR&days=7 HTTP/1.1[0m" 500 -
2025-11-20 10:15:17 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:17] "GET /api/rates/statistics?currency=EUR&days=30 HTTP/1.1" 200 -
2025-11-20 10:15:17 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:17] "GET /api/rates/latest HTTP/1.1" 200 -
2025-11-20 10:15:17 - INFO     - sources.backup_sources:119 - get_rates_from_bnr() - BNR: Retrieved 38 rates
2025-11-20 10:15:17 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:17] "GET /api/health HTTP/1.1" 200 -
2025-11-20 10:15:18 - INFO     - sources.backup_sources:155 - get_rates_from_ecb() - ECB: Retrieved 0 rates
2025-11-20 10:15:18 - WARNING  - sources.backup_sources:170 - get_rates_from_fixer() - Fixer.io API key not configured
2025-11-20 10:15:18 - INFO     - sources.backup_sources:230 - get_rates_from_exchangerate_api() - ExchangeRate-API: Retrieved 3 rates
2025-11-20 10:15:18 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:18] "GET /api/sources/status HTTP/1.1" 200 -
2025-11-20 10:15:35 - INFO     - werkzeug:97 - _log() - 127.0.0.1 - - [20/Nov/2025 10:15:35] "GET / HTTP/1.1" 200 -
